,Diagonal,HF,KFAC,EKFAC,TENGraD
HalfCheetah-v2,-523.8200386908494,-41.334199539375724,-260.6452910624048,-515.2802540143341,-350.94029732057277
Ant-v2,-81389.90917521555,-49.352287058289896,-187.28394277359337,-294.79222948706894,-183.75368349193482
Hopper-v2,-366.30402412528736,-297.6032168716902,-578.3675099306713,-483.79330853624197,-226.38881758382766
Humanoid-v2,-72.3908426753843,-33.035637822777005,-65.63541215309627,-32.257323260253884,-52.23006916254171
Walker2d-v2,-351.46874112110106,-321.3141751888553,-148.12516081165035,-313.33986131122174,-451.7824405643458
Reacher-v2,-3654.4457613481154,-0.5303374562603554,-0.9688010578932265,-1.0724002979073008,-0.8164980354378648
Swimmer-v2,-4.523066539839971,-3.268157594810205,-7.896894313541422,-7.472498860986536,-5.037357665710939
