,Diagonal,HF,KFAC,EKFAC,TENGraD
HalfCheetah-v2,-26.334600925445557,-27.064608335494995,-26.489842414855957,-26.505581378936768,-41.59434723854065
Ant-v2,-51.777642488479614,-52.20263719558716,-51.83728218078613,-51.51315999031067,-68.24119019508362
Hopper-v2,-32.55143213272095,-33.44781231880188,-32.96351337432861,-34.94010925292969,-48.28274655342102
Humanoid-v2,-61.79056668281555,-60.668912172317505,-62.094592809677124,-62.597607135772705,-77.484548330307
Walker2d-v2,-34.75513052940369,-34.921772480010986,-35.15803098678589,-35.071847915649414,-50.73309111595154
Reacher-v2,-25.970885038375854,-26.212600708007812,-26.326966285705566,-26.062058210372925,-41.56973361968994
Swimmer-v2,-26.1757915019989,-26.45735192298889,-27.13705587387085,-26.676339149475098,-42.11834526062012
