,Diagonal,HF,KFAC,EKFAC,TENGraD
HalfCheetah-v2,1008.8668201625887,1144.5717389005947,1683.0157104416814,2268.5251872853237,1792.3534330068512
Ant-v2,425.66459580947367,953.4464062817976,1575.7568218232477,1562.7971300774175,1812.7956433192235
Hopper-v2,1161.6281134465526,2283.079880316509,1238.4782254807517,1912.54478718268,1749.990637258158
Humanoid-v2,728.6096165503009,822.4395720838999,709.2986743758488,726.3690671039944,861.359416113796
Walker2d-v2,1800.4316180662568,2840.8852445524794,441.28657764475133,1434.1143462182624,2726.752201005718
Reacher-v2,-13.518406441101614,-4.690762480330794,-8.225965416795729,-7.028662444837153,-5.581917274784298
Swimmer-v2,36.398544965111235,41.212186557768966,34.17501970226118,41.22016181362571,46.339126185413434
