,Performance,Stability,Sample Efficiency,Speed,Norm_Performance
Diagonal,735.0,-12338.0,-1869.0,-37.051,8.16
HF,1154.0,-107.0,-1941.0,-37.282,55.35
KFAC,811.0,-178.0,-2254.0,-37.43,30.23
EKFAC,1134.0,-235.0,-1292.0,-37.624,49.13
TENGraD,1283.0,-182.0,-1442.0,-52.861,61.81
