,Diagonal,HF,KFAC,EKFAC,TENGraD
HalfCheetah-v2,-1845.0,-2925.0,-675.0,-570.0,-1626.0
Ant-v2,-1140.0,-3180.0,-390.0,-600.0,-1578.0
Hopper-v2,-1185.0,-615.0,-1335.0,-885.0,-384.0
Humanoid-v2,-4395.0,-4395.0,-4890.0,-4725.0,-4200.0
Walker2d-v2,-675.0,-735.0,-4395.0,-600.0,-684.0
Reacher-v2,-465.0,-480.0,-315.0,-585.0,-366.0
Swimmer-v2,-3375.0,-1260.0,-3780.0,-1080.0,-1254.0
