,Performance,Stability,Sample Efficiency,Speed
HalfCheetah-v2,2200 (-3%),-460 (+11%),-430 (+25%),-28 (-5%)
Ant-v2,1725 (+10%),-346 (-18%),-400 (+33%),-54 (-4%)
Hopper-v2,1097 (-43%),-457 (+5%),nan (nan),-34 (+4%)
Humanoid-v2,788 (+8%),-80 (-148%),-3940 (+17%),-65 (-4%)
Walker2d-v2,1337 (-7%),-519 (-66%),-400 (+33%),-36 (-3%)
Reacher-v2,-8 (-14%),-1 (+17%),-370 (+37%),-27 (-4%)
Swimmer-v2,41 (-1%),-7 (+1%),-2430 (-125%),-29 (-8%)
