,Performance,Stability,Sample Efficiency,Speed
HalfCheetah-v2,2513 (+11%),-603 (-17%),-570 (+-0%),-27 (-1%)
Ant-v2,2345 (+50%),-325 (-10%),-375 (+38%),-52 (-0%)
Hopper-v2,495 (-74%),-66 (+86%),nan (nan),-33 (+4%)
Humanoid-v2,456 (-37%),-21 (+35%),nan (nan),-63 (-0%)
Walker2d-v2,403 (-72%),-72 (+77%),nan (nan),-36 (-2%)
Reacher-v2,-6 (+10%),-1 (+36%),-615 (-5%),-27 (-2%)
Swimmer-v2,37 (-11%),-7 (+12%),-2910 (-169%),-27 (-1%)
