,Performance,Stability,Sample Efficiency,Speed
HalfCheetah-v2,1506 (+32%),-216 (-423%),-1120 (+62%),-29 (-6%)
Ant-v2,1573 (+65%),-143 (-189%),-1370 (+57%),-54 (-3%)
Hopper-v2,504 (-78%),-45 (+85%),nan (nan),-34 (-3%)
Humanoid-v2,499 (-39%),-13 (+60%),nan (nan),-62 (-3%)
Walker2d-v2,398 (-86%),-35 (+89%),nan (nan),-36 (-4%)
Reacher-v2,-4 (+11%),-0 (+63%),-270 (+44%),-29 (-9%)
Swimmer-v2,47 (+15%),-5 (-57%),-820 (+35%),-30 (-12%)
