,Diagonal,HF,KFAC,EKFAC,TENGraD
HalfCheetah-v2,-21.668505668640137,-28.71074414253235,-26.651615381240845,-26.9003849029541,-43.86816143989563
Ant-v2,-42.56554841995239,-53.714969873428345,-51.605040550231934,-51.73920488357544,-71.08306860923767
Hopper-v2,-27.28280544281006,-34.47378444671631,-32.40582346916199,-33.4854519367218,-50.44018006324768
Humanoid-v2,-50.033771276474,-62.42146039009094,-62.146730184555054,-62.80825924873352,-79.00225734710693
Walker2d-v2,-28.4654860496521,-36.21944451332092,-34.77376747131348,-35.59890866279602,-52.57570743560791
Reacher-v2,-21.116159915924072,-28.694368839263916,-25.934359788894653,-26.516867876052856,-43.367300033569336
Swimmer-v2,-22.287107944488525,-29.50017547607422,-26.858946084976196,-27.066865921020508,-43.97428917884827
