,Diagonal,HF,KFAC,EKFAC,TENGraD
HalfCheetah-v2,1686.7143377258399,1506.2200590965194,2318.6264916340033,2512.5839208275224,2058.0736550430092
Ant-v2,825.4023729888643,1572.6556159697543,2593.0506308179256,2345.0654237098142,3854.804238731871
Hopper-v2,527.4800906363765,503.7601902401061,494.09332737980696,494.7711545202108,1510.315555872931
Humanoid-v2,486.360748767142,499.4939569673562,450.71470494405185,456.16330446954555,640.360792910793
Walker2d-v2,525.726500857027,398.42990668888433,337.13422059428257,403.1525079824131,1614.2365531910727
Reacher-v2,-11.562749715318452,-4.1854108017390725,-6.659768025239998,-6.29806233219637,-4.866498654793047
Swimmer-v2,32.92449788888436,47.493813945850675,52.3839792320415,36.8732678383753,130.39608784615717
