,Diagonal,HF,KFAC,EKFAC,TENGraD
HalfCheetah-v2,-438.91247707091185,-216.11986448515552,-396.3066214980604,-602.946006851831,-591.6558603608523
Ant-v2,-178.4203784857746,-142.5226931153771,-385.5077847008758,-325.3440081301578,-464.00027456317673
Hopper-v2,-47.80862242371586,-44.71479679339802,-86.31447512968215,-66.34071076645795,-147.6668868720994
Humanoid-v2,-20.49780583614444,-13.253046416987491,-34.097698882030514,-20.982955842340086,-20.847713287809437
Walker2d-v2,-58.58498540755552,-34.76659250167472,-94.68365371719459,-71.71143046784485,-267.15626106039565
Reacher-v2,-304.0580576557987,-0.19708226963152622,-1.3603060171999226,-0.6898250957146284,-0.943408325246739
Swimmer-v2,-4.227673287448181,-5.123481070028751,-14.776869541769683,-6.595402034049334,-49.05401434782023
