,Diagonal,HF,KFAC,EKFAC,TENGraD
HalfCheetah-v2,-2250.0,-1900.0,-585.0,-430.0,-1220.0
Ant-v2,-1575.0,-2630.0,-390.0,-400.0,-1356.0
Hopper-v2,-1125.0,-510.0,,,-340.0
Humanoid-v2,-4775.0,-3680.0,,-3940.0,-3728.0
Walker2d-v2,-1275.0,-690.0,-3675.0,-400.0,-496.0
Reacher-v2,-775.0,-360.0,-315.0,-370.0,-268.0
Swimmer-v2,-4025.0,-1200.0,-4110.0,-2430.0,-452.0
