,Diagonal,HF,KFAC,EKFAC,TENGraD
HalfCheetah-v2,-256.90294320614095,-171.3030399848639,-419.12244565912613,-460.0592633960829,-370.9537708311421
Ant-v2,-99.73805798939912,-91.52646241144684,-366.2358112929157,-346.4268929599481,-235.82328068501582
Hopper-v2,-329.8722317086147,-339.626447749379,-493.2871152890934,-457.1974459045346,-317.9070034527817
Humanoid-v2,-41.88117052540389,-46.76975919196849,-37.11634314347187,-80.11369087223798,-48.91604563957147
Walker2d-v2,-209.55386735959166,-298.36509186269035,-216.72952151581796,-519.2696169956713,-576.0185952303921
Reacher-v2,-1911.9877217901385,-0.40066105189339063,-1.831193441756677,-0.8864163570709186,-1.3333060739055167
Swimmer-v2,-3.725223714103976,-4.874446149296324,-9.922070235659001,-7.369229120239825,-6.267934768523209
