,Diagonal,HF,KFAC,EKFAC,TENGraD
HalfCheetah-v2,1371.444611658189,1338.0356635046887,2134.7030680349467,2199.966407108722,1943.1498243272163
Ant-v2,667.6603474682812,1122.6106046728667,1913.7488349140199,1725.197345935206,1997.6537342528045
Hopper-v2,1500.3874573957,2358.1166768408148,1088.1732490026702,1097.461579444784,1870.367601092533
Humanoid-v2,749.2489812832358,991.1866628159811,647.8642390870052,787.6792787017218,972.1395683293455
Walker2d-v2,1802.174884536209,3064.9759250339057,590.0423590837117,1336.8357301371066,2788.039762010024
Reacher-v2,-12.490792353137794,-4.657887573295016,-8.362239201960241,-7.993223875263823,-6.386297439020253
Swimmer-v2,35.733901813092984,40.918288441552356,34.95945423839888,40.635607627333115,44.78426024308286
