,Diagonal,HF,KFAC,EKFAC,TENGraD
HalfCheetah-v2,-21.573909521102905,-28.32952904701233,-26.902979373931885,-27.743627548217773,-41.84145426750183
Ant-v2,-43.02277326583862,-53.78291964530945,-51.557289600372314,-53.549386978149414,-68.71191167831421
Hopper-v2,-27.072197198867798,-34.65070128440857,-33.47604751586914,-33.6191680431366,-48.82158017158508
Humanoid-v2,-50.15508151054382,-62.57646059989929,-62.90982413291931,-65.19780707359314,-78.74888062477112
Walker2d-v2,-28.450464725494385,-36.8108024597168,-34.74585247039795,-36.230292081832886,-50.89131546020508
Reacher-v2,-21.191716194152832,-27.920220613479614,-25.99908995628357,-27.227893590927124,-41.63450646400452
Swimmer-v2,-21.555697202682495,-29.077688455581665,-26.576088190078735,-28.816047191619873,-42.558260679244995
