,Performance,Stability,Sample Efficiency,Speed,Norm_Performance
Diagonal,873.0,-408.0,-2257.0,-30.432,15.06
HF,1273.0,-136.0,-1567.0,-39.021,58.34
KFAC,914.0,-221.0,-1815.0,-37.452,31.73
EKFAC,1026.0,-267.0,-1328.0,-38.912,39.3
TENGraD,1373.0,-222.0,-1123.0,-53.315,59.94
